Wraps = 	4	 Interleafs = 	4	 PSNR: 	9.8786																
Wraps = 	4	 Interleafs = 	4	 SSIM: 	0.241819																
																					
Num of Samples = 	32																				
Wraps = 	8	 Interleafs = 	4	 finished in 	36739	 ms															
Wraps = 	8	 Interleafs = 	4	 PSNR: 	9.91139																
Wraps = 	8	 Interleafs = 	4	 SSIM: 	0.34282																
																					
Num of Samples = 	64																				
Wraps = 	16	 Interleafs = 	4	 finished in 	36888	 ms															
Wraps = 	16	 Interleafs = 	4	 PSNR: 	11.7473																
Wraps = 	16	 Interleafs = 	4	 SSIM: 	0.526986																
																					
Num of Samples = 	128																				
Wraps = 	32	 Interleafs = 	4	 finished in 	37181	 ms															
Wraps = 	32	 Interleafs = 	4	 PSNR: 	14.054																
Wraps = 	32	 Interleafs = 	4	 SSIM: 	0.739047																
																					
Num of Samples = 	256																				
Wraps = 	64	 Interleafs = 	4	 finished in 	36830	 ms															
Wraps = 	64	 Interleafs = 	4	 PSNR: 	15.1217																
Wraps = 	64	 Interleafs = 	4	 SSIM: 	0.737608																
																					
Num of Samples = 	512																				
Wraps = 	128	 Interleafs = 	4	 finished in 	37354	 ms															
Wraps = 	128	 Interleafs = 	4	 PSNR: 	12.031																
Wraps = 	128	 Interleafs = 	4	 SSIM: 	0.521015																
																					
Num of Samples = 	1024																				
Wraps = 	256	 Interleafs = 	4	 finished in 	37183	 ms															
Wraps = 	256	 Interleafs = 	4	 PSNR: 	10.0417																
Wraps = 	256	 Interleafs = 	4	 SSIM: 	0.314568																
																					
Num of Samples = 	2048																				
Wraps = 	512	 Interleafs = 	4	 finished in 	145716	 ms															
Wraps = 	512	 Interleafs = 	4	 PSNR: 	9.17975																
Wraps = 	512	 Interleafs = 	4	 SSIM: 	0.173601																
																					
Num of Samples = 	8																				
Wraps = 	1	 Interleafs = 	8	 finished in 	37712	 ms															
Wraps = 	1	 Interleafs = 	8	 PSNR: 	9.59894																
Wraps = 	1	 Interleafs = 	8	 SSIM: 	0.25021																
																					
Num of Samples = 	16																				
Wraps = 	2	 Interleafs = 	8	 finished in 	137144	 ms															
Wraps = 	2	 Interleafs = 	8	 PSNR: 	10.1863																
Wraps = 	2	 Interleafs = 	8	 SSIM: 	0.317547																
																					
Num of Samples = 	32																				
Wraps = 	4	 Interleafs = 	8	 finished in 	37624	 ms															
Wraps = 	4	 Interleafs = 	8	 PSNR: 	10.8739																
Wraps = 	4	 Interleafs = 	8	 SSIM: 	0.423361																
																					
Num of Samples = 	64																				
Wraps = 	8	 Interleafs = 	8	 finished in 	160151	 ms															
Wraps = 	8	 Interleafs = 	8	 PSNR: 	12.3477																
Wraps = 	8	 Interleafs = 	8	 SSIM: 	0.615449																
																					
Num of Samples = 	128																				
Wraps = 	16	 Interleafs = 	8	 finished in 	162617	 ms															
Wraps = 	16	 Interleafs = 	8	 PSNR: 	15.3599																
Wraps = 	16	 Interleafs = 	8	 SSIM: 	0.794681																
																					
Num of Samples = 	256																				
Wraps = 	32	 Interleafs = 	8	 finished in 	37320	 ms															
Wraps = 	32	 Interleafs = 	8	 PSNR: 	15.1001																
Wraps = 	32	 Interleafs = 	8	 SSIM: 	0.737234																
																					
