# Wraps	# Interleafs	PSNR	SSIM	Time	# Samples
1	1	9.8766	0.0697726	446656	65536
2	1	10.2495	0.115532	434834	65536
4	1	10.7142	0.0773284	434504	65536
8	1	10.4628	0.122467	435340	65536
16	1	10.8654	0.155032	434441	65536
32	1	11.9486	0.219518	437976	65536
64	1	13.3304	0.458361	435633	65536
128	1	14.9765	0.559856	435902	65536
256	1	15.3616	0.779815	435794	65536
512	1	16.7043	0.837398	435629	65536
1024	1	13.2514	0.659812	435187	65536
1	2	8.44818	0.0718616	436064	65536
2	2	8.64663	0.0969251	435372	65536
4	2	8.85599	0.0910428	435040	65536
8	2	8.69641	0.113277	435641	65536
16	2	9.39121	0.191853	436242	65536
32	2	9.80289	0.209047	435323	65536
64	2	11.2498	0.404021	436539	65536
128	2	14.1764	0.712523	436384	65536
256	2	17.0251	0.844209	435591	65536
512	2	13.2906	0.661505	436866	65536
1024	2	11.3441	0.468686	436796	65536
1	4	9.04789	0.124088	437106	65536
2	4	9.02345	0.141572	436949	65536
4	4	9.48782	0.187184	437059	65536
8	4	9.73551	0.235359	436115	65536
16	4	9.73344	0.331605	436672	65536
32	4	11.9358	0.542095	438164	65536
64	4	16.7853	0.823585	436842	65536
128	4	16.829	0.840235	436496	65536
256	4	13.2251	0.65905	437441	65536
512	4	11.3072	0.46684	436543	65536
1024	4	9.38279	0.257949	436339	65536
1	8	9.36543	0.200038	436306	65536
2	8	9.62252	0.251537	435217	65536
4	8	9.92253	0.30261	437613	65536
8	8	10.7034	0.415578	437349	65536
16	8	12.5188	0.631678	437525	65536
32	8	18.8526	0.873862	437430	65536
64	8	16.8178	0.840106	437828	65536
128	8	13.2212	0.658962	437489	65536
256	8	11.3066	0.466801	439426	65536
512	8	9.38061	0.257823	438947	65536
1024	8	8.79642	0.151594	438116	65536
1	16	9.93272	0.317778	438778	65536
2	16	11.113	0.440855	438211	65536
4	16	12.3179	0.565811	439976	65536
8	16	13.4426	0.680185	438766	65536
16	16	19.5819	0.903263	438714	65536
32	16	16.8059	0.840049	437492	65536
64	16	13.2128	0.658663	438288	65536
128	16	11.2995	0.466446	438910	65536
256	16	9.37883	0.257585	438773	65536
512	16	9.4942	0.266084	439062	65536
1024	16	10.0519	0.300653	438785	65536
1	32	12.1161	0.570662	438085	65536
2	32	14.4684	0.711627	439151	65536
4	32	16.2495	0.807762	438133	65536
8	32	21.1856	0.927141	437499	65536
16	32	16.7258	0.839198	437995	65536
32	32	13.1744	0.657587	436721	65536
64	32	11.2764	0.465209	438535	65536
128	32	10.9377	0.446022	437799	65536
256	32	10.9066	0.445061	437621	65536
512	32	11.1377	0.465612	438106	65536
1024	32	11.8001	0.524174	438085	65536
1	64	15.8437	0.806283	437508	65536
2	64	17.7889	0.87697	438084	65536
4	64	20.4952	0.932223	438124	65536
8	64	16.4631	0.836737	437753	65536
16	64	13.0082	0.652556	437734	65536
32	64	13.9482	0.690479	436708	65536
64	64	13.0325	0.650483	437799	65536
128	64	13.7848	0.682607	438650	65536
256	64	12.2929	0.627151	438276	65536
512	64	13.3837	0.700952	437438	65536
1024	64	15.8437	0.806283	437834	65536
1	128	16.1212	0.87692	437386	65536
2	128	18.0389	0.918323	437901	65536
4	128	15.32	0.821568	439206	65536
8	128	14.1432	0.785288	439480	65536
16	128	14.8868	0.809385	439958	65536
32	128	14.6296	0.801213	438798	65536
64	128	14.8203	0.8098	439073	65536
128	128	15.4018	0.833802	439831	65536
256	128	15.3332	0.84414	438850	65536
512	128	16.1212	0.87692	436461	65536
1024	128	18.0389	0.918323	438403	65536
1	256	8.26694	0.0810684	438591	65536
2	256	8.04027	0.0720954	439508	65536
4	256	7.82853	0.0619708	441171	65536
8	256	8.15025	0.0743315	439844	65536
16	256	8.16197	0.0753911	437922	65536
32	256	8.46707	0.0868183	438852	65536
64	256	8.22156	0.0765409	437583	65536
128	256	8.61484	0.0928924	439217	65536
256	256	8.26694	0.0810684	437814	65536
512	256	8.04027	0.0720954	438580	65536
1024	256	7.82853	0.0619708	440081	65536
1	512	8.33097	0.0355507	441547	65536
2	512	8.25896	0.034511	442312	65536
4	512	8.28558	0.0353499	441907	65536
8	512	8.28199	0.0347873	440261	65536
16	512	8.24134	0.0345357	441187	65536
32	512	8.16953	0.0326319	440089	65536
64	512	8.19125	0.0341975	440179	65536
128	512	8.33097	0.0355507	443307	65536
256	512	8.25896	0.034511	440508	65536
512	512	8.28558	0.0353499	440497	65536
1024	512	8.28199	0.0347873	440852	65536
1	1024	8.33454	0.0125153	442352	65536
2	1024	8.32313	0.0121149	441538	65536
4	1024	8.23161	0.0118519	440922	65536
8	1024	8.25841	0.0120098	440336	65536
16	1024	8.29801	0.0123817	442477	65536
32	1024	8.32584	0.0125758	441435	65536
64	1024	8.33454	0.0125153	440841	65536
128	1024	8.32313	0.0121149	441165	65536
256	1024	8.23161	0.0118519	439746	65536
512	1024	8.25841	0.0120098	441056	65536
1024	1024	8.29801	0.0123817	440847	65536
