# Wraps	# Interleafs	PSNR	SSIM	Time	# Samples
4	0.01	19.5481	0.862394	38878	16384
8	0.01	14.9496	0.548927	39489	16384
16	0.01	12.786	0.329414	40026	16384
32	0.01	11.9232	0.207232	39709	16384
64	0.01	12.5169	0.263605	40709	16384
128	0.01	17.0243	0.738013	39535	16384
256	0.01	23.2911	0.949262	39902	16384
0.5	0.01	19.5417	0.862942	40151	16384
1	0.01	21.6402	0.90344	39538	16384
2	0.01	16.8196	0.710089	40025	16384
4	0.01	19.1611	0.823654	40179	16384
8	0.01	15.0242	0.52792	39997	16384
16	0.01	12.0572	0.180573	40063	16384
32	0.01	11.7544	0.154568	39663	16384
64	0.01	12.4749	0.256149	39379	16384
128	0.01	17.0761	0.737688	39401	16384
256	0.01	23.2676	0.950129	39098	16384
0.5	0.01	18.9383	0.813707	38915	16384
1	0.01	18.0168	0.78159	38963	16384
2	0.01	21.128	0.893766	39619	16384
4	0.01	16.2629	0.667095	39135	16384
8	0.01	14.8946	0.521906	39425	16384
16	0.01	12.1704	0.216997	39191	16384
32	0.01	11.887	0.181999	39150	16384
64	0.01	12.4858	0.263857	38915	16384
128	0.01	20.3221	0.874341	39057	16384
256	0.01	23.3664	0.949486	39222	16384
0.5	0.01	20.5814	0.883449	39395	16384
1	0.01	18.0986	0.808611	39255	16384
2	0.01	19.4485	0.860526	86638	16384
4	0.01	16.7509	0.704876	39180	16384
8	0.01	13.5543	0.357139	39172	16384
16	0.01	12.0575	0.243959	42846	16384
32	0.01	11.8083	0.15418	39779	16384
64	0.01	12.3626	0.229178	40646	16384
128	0.01	17.0371	0.738092	39729	16384
256	0.01	23.3765	0.949197	39250	16384
0.5	0.01	19.3303	0.823989	39369	16384
1	0.01	17.5553	0.762305	39868	16384
2	0.01	18.5746	0.793001	39743	16384
4	0.01	17.9388	0.75837	39746	16384
8	0.01	14.6666	0.453126	39231	16384
16	0.01	12.1109	0.177674	40604	16384
