# Wraps	# Interleafs	PSNR	SSIM	Time	# Samples
128	8	13.0391	0.6252	86695	49152
256	8	10.1749	0.358734	86494	49152
512	8	10.7636	0.393444	86867	49152
1	16	11.336	0.452654	86519	49152
2	16	12.5397	0.574582	86624	49152
4	16	14.0365	0.704078	86699	49152
8	16	21.8762	0.931715	87185	49152
16	16	19.6672	0.917447	87456	49152
32	16	17.4358	0.831912	86611	49152
64	16	13.0375	0.625167	86716	49152
128	16	13.0334	0.626495	86809	49152
256	16	12.0905	0.576218	86478	49152
512	16	12.7875	0.62405	86877	49152
1	32	14.8098	0.721136	87089	49152
2	32	16.7326	0.820707	86738	49152
4	32	24.3982	0.955993	87513	49152
8	32	19.6117	0.917163	87163	49152
16	32	17.4112	0.831724	213776	49152
32	32	16.6692	0.81818	87082	49152
64	32	15.5004	0.795753	87351	49152
128	32	16.1866	0.813394	86978	49152
256	32	16.5068	0.827244	211918	49152
512	32	17.7023	0.866444	116706	49152
1	64	20.4471	0.909079	87507	49152
2	64	25.899	0.97031	86926	49152
4	64	19.4788	0.916788	86867	49152
8	64	19.1172	0.914224	87671	49152
16	64	20.3903	0.926581	87036	49152
32	64	20.8918	0.930966	87211	49152
64	64	19.7981	0.92346	208991	49152
128	64	21.09	0.938531	87324	49152
256	64	25.1683	0.966811	86833	49152
512	64	27.8599	0.979594	87185	49152
1	128	25.5908	0.975878	86982	49152
2	128	20.0587	0.945699	87507	49152
4	128	24.13	0.97151	87440	49152
8	128	23.3548	0.961931	86920	49152
16	128	21.9303	0.962718	87234	49152
32	128	23.5594	0.962207	86967	49152
64	128	25.4347	0.974661	87305	49152
128	128	23.0776	0.959084	86722	49152
256	128	23.0808	0.964167	87132	49152
512	128	17.8329	0.897378	87667	49152
1	256	19.2081	0.940054	87045	49152
2	256	18.9343	0.943079	87813	49152
4	256	18.9846	0.939187	186782	49152
8	256	17.6684	0.932714	110541	49152
16	256	18.5099	0.938854	87526	49152
32	256	17.8634	0.928986	86911	49152
64	256	17.1863	0.925537	87179	49152
128	256	19.8897	0.945236	187248	49152
256	256	18.2715	0.931568	87489	49152
512	256	19.0764	0.940041	87571	49152
1	512	9.5869	0.132472	86991	49152
2	512	9.59452	0.132802	87174	49152
4	512	9.61903	0.133315	87566	49152
8	512	9.56694	0.131815	87581	49152
16	512	9.58244	0.131958	87272	49152
32	512	9.60394	0.133022	87510	49152
64	512	9.64085	0.134033	87184	49152
128	512	9.48615	0.129179	87178	49152
256	512	9.60547	0.133138	87194	49152
512	512	9.65534	0.134571	87382	49152
1	1	10.1813	0.125435	111538	65536
2	1	10.92	0.0723181	112009	65536
4	1	10.5654	0.112016	111444	65536
8	1	10.9672	0.151335	111859	65536
16	1	12.0648	0.219084	111852	65536
32	1	13.6603	0.466169	111907	65536
64	1	15.4983	0.57866	111706	65536
128	1	16.8684	0.852128	111732	65536
256	1	20.3171	0.938652	111713	65536
512	1	16.993	0.851957	111921	65536
1	2	8.48164	0.0833221	112148	65536
2	2	9.00587	0.0852456	111467	65536
4	2	8.75013	0.100609	139903	65536
8	2	9.38734	0.182334	111753	65536
16	2	9.87063	0.205156	111655	65536
32	2	11.5838	0.415159	112260	65536
64	2	15.5123	0.756374	111959	65536
128	2	20.7839	0.942637	111774	65536
256	2	17.0724	0.853805	111764	65536
512	2	14.9617	0.73228	111653	65536
1	4	9.06578	0.143687	111918	65536
2	4	9.57411	0.190787	111872	65536
4	4	9.88015	0.241947	111826	65536
8	4	9.857	0.339724	112285	65536
16	4	12.0872	0.549697	111991	65536
32	4	17.9738	0.850085	112039	65536
64	4	20.5789	0.939601	111981	65536
128	4	16.9278	0.850679	111867	65536
256	4	15.0662	0.73506	112149	65536
512	4	12.0317	0.520582	111728	65536
1	8	9.60158	0.250477	122295	65536
2	8	10.195	0.318143	111802	65536
4	8	10.9639	0.429433	111805	65536
8	8	12.6866	0.640452	111715	65536
16	8	20.5308	0.901038	113526	65536
32	8	20.6107	0.939714	112003	65536
64	8	16.9248	0.850618	112104	65536
128	8	15.0605	0.734951	111889	65536
256	8	12.0287	0.520484	112030	65536
512	8	10.0396	0.314378	112108	65536
1	16	11.3366	0.452712	111934	65536
2	16	12.5409	0.57463	124063	65536
4	16	14.0571	0.704802	111859	65536
8	16	22.9226	0.937969	112045	65536
16	16	20.5745	0.939552	111530	65536
32	16	16.9237	0.85061	111857	65536
64	16	15.0601	0.734931	112387	65536
128	16	12.027	0.520385	111758	65536
256	16	10.0379	0.314272	111475	65536
512	16	10.6742	0.342575	113470	65536
1	32	14.8208	0.721309	112211	65536
2	32	16.683	0.819706	121861	65536
4	32	25.3187	0.961571	112331	65536
8	32	20.4914	0.93935	111945	65536
16	32	16.8987	0.850378	111833	65536
32	32	15.0444	0.734664	113725	65536
64	32	12.0193	0.520051	111730	65536
128	32	11.8415	0.512069	112414	65536
256	32	11.6648	0.504879	111835	65536
512	32	12.2094	0.54749	111962	65536
1	64	20.5731	0.909714	111946	65536
2	64	27.6079	0.976528	111699	65536
4	64	20.4789	0.93926	112662	65536
8	64	16.8425	0.849906	112456	65536
16	64	14.9868	0.733655	112367	65536
32	64	14.0261	0.701429	112690	65536
64	64	14.3698	0.714355	112330	65536
128	64	13.3114	0.683744	112333	65536
256	64	15.1313	0.759933	112210	65536
512	64	16.4043	0.817369	112396	65536
1	128	27.2789	0.983327	112281	65536
2	128	20.0125	0.937801	112419	65536
4	128	16.5464	0.847061	138272	65536
8	128	17.6543	0.867317	112562	65536
16	128	17.1422	0.859661	112089	65536
32	128	18.3083	0.877666	112085	65536
64	128	16.6677	0.856598	112130	65536
128	128	19.2761	0.904917	112592	65536
256	128	21.6295	0.944722	112746	65536
512	128	27.2789	0.983327	112157	65536
1	256	18.1632	0.927454	111981	65536
2	256	19.2415	0.939534	112137	65536
4	256	18.5175	0.932793	112254	65536
8	256	18.4696	0.932497	112580	65536
16	256	18.803	0.936652	112102	65536
32	256	20.3979	0.952163	112079	65536
64	256	24.3398	0.971407	111820	65536
128	256	21.4578	0.970601	111929	65536
256	256	18.1632	0.927454	112192	65536
512	256	19.2415	0.939534	112750	65536
1	512	8.51452	0.0863364	236823	65536
2	512	8.48548	0.0853009	112233	65536
4	512	8.50537	0.0862399	112314	65536
8	512	8.40312	0.0829416	112356	65536
16	512	8.39132	0.0827048	112103	65536
32	512	8.39904	0.0819809	112436	65536
64	512	8.52784	0.0869259	112163	65536
128	512	8.51452	0.0863364	112005	65536
256	512	8.48548	0.0853009	112196	65536
512	512	8.50537	0.0862399	111955	65536
